name,credits,institution
Amit,40,IIT Delhi
Riya,28,DU
Rahul,55,NIT Trichy
Sneha,32,IIT Bombay
Vikram,45,IIT Delhi
Anita,30,DU
Karan,50,NIT Trichy
Meera,20,IIT Bombay
Tina,60,IIT Delhi
Arjun,35,DU
Sonal,25,NIT Trichy
Rohit,48,IIT Bombay
Deepak,38,IIT Delhi
Pooja,29,DU
Nisha,52,NIT Trichy
Vivek,33,IIT Bombay
Ayesha,27,IIT Delhi
Kabir,44,DU
Simran,31,NIT Trichy
Neha,22,IIT Bombay
Aditya,41,IIT Delhi
Maya,26,DU
Raghav,53,NIT Trichy
Tara,34,IIT Bombay
Isha,39,IIT Delhi
Zoya,24,DU
Kabir,46,NIT Trichy
Rhea,37,IIT Bombay
Sahil,43,IIT Delhi
Lina,21,DU
Rohit,112,NIT Trichy
Amit,138,DU
Rohit,92,DU
Deepak,34,IIT Madras
Nisha,153,NIT Trichy
Amit,86,BITS Pilani
Kavita,56,IIT Madras
Kavita,106,IIT Madras
Pooja,40,IIT Kanpur
Vikas,75,JNU
Simran,115,IIT Madras
Riya,165,NIT Trichy
Nisha,106,NIT Trichy
Neha,105,NIT Surathkal
Riya,99,JNU
Kiran,32,IIT Bombay
Ankit,143,IIIT Hyderabad
Mehul,98,IIT Delhi
Sneha,47,IIIT Hyderabad
Simran,95,IIT Delhi
Suresh,64,IIT Madras
Pooja,148,IIIT Hyderabad
Nisha,83,DU
Suresh,168,IIT Kanpur
Rohit,102,IIT Bombay
Kavita,109,IIIT Hyderabad
Vikas,108,IIT Kanpur
Amit,176,IIIT Hyderabad
Nisha,50,IIIT Hyderabad
Mehul,26,DU
Vikram,124,IIT Madras
Neha,59,JNU
Vikram,167,IIIT Hyderabad
Rahul,132,IIT Delhi
Priya,43,BITS Pilani
Sneha,149,NIT Surathkal
Amit,89,IIIT Hyderabad
Amit,96,DU
Amit,41,NIT Trichy
Suresh,169,IIT Delhi
Deepak,146,IIT Madras
Ankit,42,IIT Bombay
Riya,72,IIT Bombay
Suresh,60,IIT Madras
Arjun,94,IIT Kanpur
Amit,92,NIT Trichy
Pooja,95,IIT Kanpur
Priya,83,JNU
Manish,116,JNU
Kiran,100,BITS Pilani
Simran,135,IIT Madras
Neha,51,IIT Kanpur
Mehul,56,NIT Trichy
Priya,117,IIT Bombay
Deepak,77,IIT Madras
Kiran,67,BITS Pilani
Kiran,26,NIT Surathkal
Priya,97,JNU
Suresh,30,IIT Delhi
Kiran,126,NIT Trichy
Mehul,163,BITS Pilani
Rohit,64,IIT Kanpur
Neha,67,IIIT Hyderabad
Mehul,44,IIT Kanpur
Sneha,45,IIT Bombay
Mehul,107,NIT Trichy
Priya,84,NIT Trichy
Ankit,62,IIT Delhi
Mehul,134,NIT Surathkal
Vikas,144,DU
Rohit,170,IIT Madras
Riya,65,IIT Kanpur
Deepak,33,JNU
Neha,172,IIT Madras
Suresh,127,NIT Surathkal
Rahul,53,IIT Madras
Neha,78,NIT Trichy
Amit,170,IIIT Hyderabad
Riya,83,IIT Kanpur
Rahul,43,JNU
Rohit,74,IIT Kanpur
Ankit,22,NIT Trichy
Suresh,163,IIT Madras
Suresh,178,IIIT Hyderabad
Suresh,139,IIT Delhi
Kiran,57,NIT Trichy
Sneha,112,IIT Madras
Rohit,38,NIT Trichy
Mehul,173,IIT Kanpur
Manish,166,NIT Trichy
Ankit,34,IIT Bombay
Kavita,158,DU
Vikram,108,IIT Bombay
Deepak,52,IIIT Hyderabad
Simran,133,JNU
Priya,121,JNU
Manish,21,IIT Bombay
Riya,169,IIT Delhi
Vikram,61,IIT Delhi
Rohit,178,IIT Kanpur
Manish,157,IIIT Hyderabad
Ankit,75,DU
Ankit,131,IIT Delhi
Deepak,62,NIT Trichy
Vikas,160,BITS Pilani
Nisha,51,IIT Madras
Riya,40,IIT Kanpur
Simran,80,IIT Kanpur
Priya,174,DU
Kiran,157,NIT Surathkal
Arjun,103,IIIT Hyderabad
Vikram,167,DU
Manish,88,NIT Trichy
Kavita,33,IIT Kanpur
Suresh,93,IIIT Hyderabad
Nisha,40,DU
Ankit,130,IIT Kanpur
Amit,70,IIT Bombay
Sneha,123,NIT Trichy
Nisha,28,DU
Ankit,96,BITS Pilani
Kavita,101,NIT Surathkal
Manish,43,IIT Madras
Simran,169,IIT Kanpur
Manish,78,IIT Bombay
Vikas,58,IIT Delhi
Manish,167,IIIT Hyderabad
Vikas,174,DU
Pooja,74,IIT Bombay
Pooja,52,IIT Bombay
Kiran,110,IIIT Hyderabad
Vikram,135,IIIT Hyderabad
Neha,119,JNU
Simran,20,IIT Bombay
Riya,112,JNU
Amit,85,IIIT Hyderabad
Pooja,176,NIT Surathkal
Arjun,170,IIT Madras
Mehul,48,IIIT Hyderabad
Nisha,51,IIT Delhi
Arjun,90,NIT Trichy
Vikram,62,BITS Pilani
Pooja,46,IIT Kanpur
Arjun,116,JNU
Simran,33,NIT Surathkal
Kiran,33,NIT Trichy
